Model	Symbol	Mutation
PD0089_F3	CDKN1A	-
PD0089_F3	CDKN2A	-
PD0089_F3	CDKN2B	-
PD0089_F3	CTNNB1	-
PD0089_F3	CYP2E1	-
PD0089_F3	EEF1A1	-
PD0089_F3	FCRL1	-
PD0089_F3	FGF19	-
PD0089_F3	G6PC	-
PD0089_F3	GALNT11	-
PD0089_F3	GRXCR1	-
PD0089_F3	HIST1H1C	-
PD0089_F3	HNF1A	-
PD0089_F3	HNRNPA2B1	-
PD0089_F3	IDH1	-
PD0089_F3	IL6ST	-
PD0089_F3	IRX1	-
PD0089_F3	KIF19	-
PD0089_F3	LCE1E	-
PD0089_F3	MAP2K3	-
PD0089_F3	MEN1	-
PD0089_F3	NCOR1	-
PD0089_F3	NFE2L2	-
PD0089_F3	PDX1	-
PD0089_F3	PTEN	-
PD0089_F3	RB1	-
PD0089_F3	RPS6KA3	-
PD0089_F3	SOCS6	-
PD0089_F3	SRCAP	-
PD0089_F3	TERT	-
PD0089_F3	TMEM99	-
PD0089_F3	TP53	-
PD0089_F3	TSC1	-
PD0089_F3	TSC2	-
PD0090_F3	ACVR2A	-
PD0090_F3	ADH1B	-
PD0090_F3	ALB	-
PD0090_F3	APOB	-
PD0090_F3	ARID1A	-
PD0090_F3	ARID2	-
PD0090_F3	AXIN1	-
PD0090_F3	BRD7	-
PD0090_F3	CCND1	-
PD0090_F3	CDKN1A	-
PD0090_F3	CDKN2A	-
PD0090_F3	CDKN2B	-
PD0090_F3	CYP2E1	-
PD0090_F3	EEF1A1	-
PD0090_F3	FCRL1	-
PD0090_F3	FGF19	-
PD0090_F3	G6PC	-
PD0090_F3	GALNT11	-
PD0090_F3	GRXCR1	-
PD0090_F3	HIST1H1C	-
PD0090_F3	HNF1A	-
PD0090_F3	HNRNPA2B1	-
PD0090_F3	IDH1	-
PD0090_F3	IL6ST	-
PD0090_F3	KIF19	-
PD0090_F3	LCE1E	-
PD0090_F3	MAP2K3	-
PD0090_F3	NFE2L2	-
PD0090_F3	PDX1	-
PD0090_F3	PTEN	-
PD0090_F3	RB1	-
PD0090_F3	RPS6KA3	-
PD0090_F3	SOCS6	-
PD0090_F3	SRCAP	-
PD0090_F3	TERT	-
PD0090_F3	TMEM99	-
PD0090_F3	TRPA1	-
PD0090_F3	TSC1	-
PD0091_F3	ACVR2A	-
PD0091_F3	ADH1B	-
PD0091_F3	ALB	-
PD0091_F3	APOB	-
PD0091_F3	ARID1A	-
PD0091_F3	ARID2	-
PD0091_F3	BAP1	-
PD0091_F3	BRD7	-
PD0091_F3	CCND1	-
PD0091_F3	CDKN1A	-
PD0091_F3	CDKN2A	-
PD0091_F3	CDKN2B	-
PD0091_F3	CTNNB1	-
PD0091_F3	CYP2E1	-
PD0091_F3	EEF1A1	-
PD0091_F3	FCRL1	-
PD0091_F3	FGF19	-
PD0091_F3	G6PC	-
PD0091_F3	GALNT11	-
PD0091_F3	GRXCR1	-
PD0091_F3	HIST1H1C	-
PD0091_F3	HNF1A	-
PD0091_F3	HNRNPA2B1	-
PD0091_F3	IDH1	-
PD0091_F3	IL6ST	-
PD0091_F3	IRX1	-
PD0091_F3	KIF19	-
PD0091_F3	LCE1E	-
PD0091_F3	MAP2K3	-
PD0091_F3	MEN1	-
PD0091_F3	NCOR1	-
PD0091_F3	NFE2L2	-
PD0091_F3	PDX1	-
PD0091_F3	PTEN	-
PD0091_F3	RB1	-
PD0091_F3	RPS6KA3	-
PD0091_F3	SOCS6	-
PD0091_F3	SRCAP	-
PD0091_F3	TERT	-
PD0091_F3	TMEM99	-
PD0091_F3	TRPA1	-
PD0091_F3	TSC1	-
PD0092_F3	ACVR2A	-
PD0092_F3	ADH1B	-
PD0092_F3	ALB	-
PD0092_F3	ARID1A	-
PD0092_F3	AXIN1	-
PD0092_F3	BAP1	-
PD0092_F3	BRD7	-
PD0092_F3	CCND1	-
PD0092_F3	CDKN1A	-
PD0092_F3	CDKN2A	-
PD0092_F3	CDKN2B	-
PD0092_F3	CTNNB1	-
PD0092_F3	CYP2E1	-
PD0092_F3	EEF1A1	-
PD0092_F3	FCRL1	-
PD0092_F3	FGF19	-
PD0092_F3	G6PC	-
PD0092_F3	GALNT11	-
PD0092_F3	GRXCR1	-
PD0092_F3	HIST1H1C	-
PD0092_F3	HNF1A	-
PD0092_F3	HNRNPA2B1	-
PD0092_F3	IDH1	-
PD0092_F3	IL6ST	-
PD0092_F3	IRX1	-
PD0092_F3	KIF19	-
PD0092_F3	LCE1E	-
PD0092_F3	MAP2K3	-
PD0092_F3	MEN1	-
PD0092_F3	NCOR1	-
PD0092_F3	NFE2L2	-
PD0092_F3	PDX1	-
PD0092_F3	PTEN	-
PD0092_F3	RB1	-
PD0092_F3	RPS6KA3	-
PD0092_F3	SOCS6	-
PD0092_F3	SRCAP	-
PD0092_F3	TERT	-
PD0092_F3	TMEM99	-
PD0092_F3	TRPA1	-
PD0092_F3	TSC1	-
PD0092_F3	TSC2	-
PD0096_F3	ACVR2A	-
PD0096_F3	ADH1B	-
PD0096_F3	ALB	-
PD0096_F3	APOB	-
PD0096_F3	ARID2	-
PD0096_F3	AXIN1	-
PD0096_F3	BRD7	-
PD0096_F3	CCND1	-
PD0096_F3	CDKN1A	-
PD0096_F3	CDKN2A	-
PD0096_F3	CDKN2B	-
PD0096_F3	CTNNB1	-
PD0096_F3	CYP2E1	-
PD0096_F3	EEF1A1	-
PD0096_F3	FCRL1	-
PD0096_F3	FGF19	-
PD0096_F3	G6PC	-
PD0096_F3	GALNT11	-
PD0096_F3	GRXCR1	-
PD0096_F3	HIST1H1C	-
PD0096_F3	HNF1A	-
PD0096_F3	HNRNPA2B1	-
PD0096_F3	IDH1	-
PD0096_F3	IL6ST	-
PD0096_F3	IRX1	-
PD0096_F3	KIF19	-
PD0096_F3	LCE1E	-
PD0096_F3	MAP2K3	-
PD0096_F3	MEN1	-
PD0096_F3	NCOR1	-
PD0096_F3	NFE2L2	-
PD0096_F3	PDX1	-
PD0096_F3	PTEN	-
PD0096_F3	RB1	-
PD0096_F3	RPS6KA3	-
PD0096_F3	SOCS6	-
PD0096_F3	SRCAP	-
PD0096_F3	TERT	-
PD0096_F3	TMEM99	-
PD0096_F3	TRPA1	-
PD0096_F3	TSC1	-
PD0096_F3	TSC2	-
PD0099_F3	ACVR2A	-
PD0099_F3	ADH1B	-
PD0099_F3	ALB	-
PD0099_F3	APOB	-
PD0099_F3	ARID1A	-
PD0099_F3	ARID2	-
PD0099_F3	AXIN1	-
PD0099_F3	BAP1	-
PD0099_F3	BRD7	-
PD0099_F3	CCND1	-
PD0099_F3	CDKN1A	-
PD0099_F3	CDKN2A	-
PD0099_F3	CDKN2B	-
PD0099_F3	CTNNB1	-
PD0099_F3	CYP2E1	-
PD0099_F3	EEF1A1	-
PD0099_F3	FCRL1	-
PD0099_F3	FGF19	-
PD0099_F3	G6PC	-
PD0099_F3	GALNT11	-
PD0099_F3	GRXCR1	-
PD0099_F3	HIST1H1C	-
PD0099_F3	HNF1A	-
PD0099_F3	HNRNPA2B1	-
PD0099_F3	IDH1	-
PD0099_F3	IL6ST	-
PD0099_F3	IRX1	-
PD0099_F3	KIF19	-
PD0099_F3	LCE1E	-
PD0099_F3	MAP2K3	-
PD0099_F3	MEN1	-
PD0099_F3	NCOR1	-
PD0099_F3	NFE2L2	-
PD0099_F3	PDX1	-
PD0099_F3	PTEN	-
PD0099_F3	RPS6KA3	-
PD0099_F3	SOCS6	-
PD0099_F3	SRCAP	-
PD0099_F3	TERT	-
PD0099_F3	TMEM99	-
PD0099_F3	TP53	-
PD0099_F3	TRPA1	-
PD0099_F3	TSC1	-
PD0099_F3	TSC2	-
PD0100_F3	ACVR2A	-
PD0100_F3	ADH1B	-
PD0100_F3	ALB	-
PD0100_F3	APOB	-
PD0100_F3	ARID1A	-
PD0100_F3	ARID2	-
PD0100_F3	AXIN1	-
PD0100_F3	BAP1	-
PD0100_F3	BRD7	-
PD0100_F3	CCND1	-
PD0100_F3	CDKN2A	-
PD0100_F3	CDKN2B	-
PD0100_F3	CTNNB1	-
PD0100_F3	CYP2E1	-
PD0100_F3	EEF1A1	-
PD0100_F3	FCRL1	-
PD0100_F3	FGF19	-
PD0100_F3	G6PC	-
PD0100_F3	GALNT11	-
PD0100_F3	GRXCR1	-
PD0100_F3	HIST1H1C	-
PD0100_F3	HNF1A	-
PD0100_F3	HNRNPA2B1	-
PD0100_F3	IDH1	-
PD0100_F3	IL6ST	-
PD0100_F3	IRX1	-
PD0100_F3	KIF19	-
PD0100_F3	LCE1E	-
PD0100_F3	MAP2K3	-
PD0100_F3	MEN1	-
PD0100_F3	NCOR1	-
PD0100_F3	NFE2L2	-
PD0100_F3	PDX1	-
PD0100_F3	PTEN	-
PD0100_F3	RPS6KA3	-
PD0100_F3	SOCS6	-
PD0100_F3	SRCAP	-
PD0100_F3	TERT	-
PD0100_F3	TMEM99	-
PD0100_F3	TRPA1	-
PD0100_F3	TSC1	-
PD0100_F3	TSC2	-
PD0101_F3	ACVR2A	-
PD0101_F3	ADH1B	-
PD0101_F3	ALB	-
PD0101_F3	APOB	-
PD0101_F3	ARID1A	-
PD0101_F3	ARID2	-
PD0101_F3	AXIN1	-
PD0101_F3	BAP1	-
PD0101_F3	BRD7	-
PD0101_F3	CCND1	-
PD0101_F3	CDKN1A	-
PD0101_F3	CDKN2A	-
PD0101_F3	CDKN2B	-
PD0101_F3	CTNNB1	-
PD0101_F3	CYP2E1	-
PD0101_F3	EEF1A1	-
PD0101_F3	FCRL1	-
PD0101_F3	FGF19	-
PD0101_F3	G6PC	-
PD0101_F3	GALNT11	-
PD0101_F3	GRXCR1	-
PD0101_F3	HIST1H1C	-
PD0101_F3	HNF1A	-
PD0101_F3	HNRNPA2B1	-
PD0101_F3	IDH1	-
PD0101_F3	IL6ST	-
PD0101_F3	IRX1	-
PD0101_F3	KIF19	-
PD0101_F3	LCE1E	-
PD0101_F3	MAP2K3	-
PD0101_F3	MEN1	-
PD0101_F3	NCOR1	-
PD0101_F3	NFE2L2	-
PD0101_F3	PDX1	-
PD0101_F3	PTEN	-
PD0101_F3	RB1	-
PD0101_F3	RPS6KA3	-
PD0101_F3	SOCS6	-
PD0101_F3	SRCAP	-
PD0101_F3	TERT	-
PD0101_F3	TMEM99	-
PD0101_F3	TP53	-
PD0101_F3	TRPA1	-
PD0101_F3	TSC1	-
PD0101_F3	TSC2	-
PD0105_F3	ACVR2A	-
PD0105_F3	ADH1B	-
PD0105_F3	ALB	-
PD0105_F3	ARID1A	-
PD0105_F3	ARID2	-
PD0105_F3	AXIN1	-
PD0105_F3	BAP1	-
PD0105_F3	BRD7	-
PD0105_F3	CCND1	-
PD0105_F3	CDKN1A	-
PD0105_F3	CDKN2A	-
PD0105_F3	CDKN2B	-
PD0105_F3	CTNNB1	-
PD0105_F3	CYP2E1	-
PD0105_F3	EEF1A1	-
PD0105_F3	FCRL1	-
PD0105_F3	FGF19	-
PD0105_F3	G6PC	-
PD0105_F3	GALNT11	-
PD0105_F3	GRXCR1	-
PD0105_F3	HIST1H1C	-
PD0105_F3	HNF1A	-
PD0105_F3	HNRNPA2B1	-
PD0105_F3	IDH1	-
PD0105_F3	IL6ST	-
PD0105_F3	IRX1	-
PD0105_F3	KIF19	-
PD0105_F3	LCE1E	-
PD0105_F3	MAP2K3	-
PD0105_F3	MEN1	-
PD0105_F3	NCOR1	-
PD0105_F3	NFE2L2	-
PD0105_F3	PDX1	-
PD0105_F3	PTEN	-
PD0105_F3	SOCS6	-
PD0105_F3	SRCAP	-
PD0105_F3	TERT	-
PD0105_F3	TMEM99	-
PD0105_F3	TRPA1	-
PD0105_F3	TSC1	-
PD0105_F3	TSC2	-
PD0041_F4	ACVR2A	-
PD0041_F4	ADH1B	-
PD0041_F4	ALB	-
PD0041_F4	APOB	-
PD0041_F4	ARID1A	-
PD0041_F4	ARID2	-
PD0041_F4	AXIN1	-
PD0041_F4	BAP1	-
PD0041_F4	BRD7	-
PD0041_F4	CCND1	-
PD0041_F4	CDKN1A	-
PD0041_F4	CDKN2A	-
PD0041_F4	CDKN2B	-
PD0041_F4	CYP2E1	-
PD0041_F4	EEF1A1	-
PD0041_F4	FCRL1	-
PD0041_F4	FGF19	-
PD0041_F4	G6PC	-
PD0041_F4	GALNT11	-
PD0041_F4	GRXCR1	-
PD0041_F4	HIST1H1C	-
PD0041_F4	HNF1A	-
PD0041_F4	HNRNPA2B1	-
PD0041_F4	IDH1	-
PD0041_F4	IL6ST	-
PD0041_F4	IRX1	-
PD0041_F4	KIF19	-
PD0041_F4	LCE1E	-
PD0041_F4	MAP2K3	-
PD0041_F4	MEN1	-
PD0041_F4	NCOR1	-
PD0041_F4	NFE2L2	-
PD0041_F4	PTEN	-
PD0041_F4	RB1	-
PD0041_F4	RPS6KA3	-
PD0041_F4	SOCS6	-
PD0041_F4	SRCAP	-
PD0041_F4	TERT	-
PD0041_F4	TMEM99	-
PD0041_F4	TP53	-
PD0041_F4	TRPA1	-
PD0041_F4	TSC1	-
PD0041_F4	TSC2	-
PD0043_F4	ACVR2A	-
PD0043_F4	ADH1B	-
PD0043_F4	APOB	-
PD0043_F4	ARID1A	-
PD0043_F4	ARID2	-
PD0043_F4	AXIN1	-
PD0043_F4	BAP1	-
PD0043_F4	BRD7	-
PD0043_F4	CCND1	-
PD0043_F4	CDKN1A	-
PD0043_F4	CDKN2A	-
PD0043_F4	CDKN2B	-
PD0043_F4	CTNNB1	-
PD0043_F4	CYP2E1	-
PD0043_F4	EEF1A1	-
PD0043_F4	FCRL1	-
PD0043_F4	FGF19	-
PD0043_F4	G6PC	-
PD0043_F4	GALNT11	-
PD0043_F4	GRXCR1	-
PD0043_F4	HIST1H1C	-
PD0043_F4	HNF1A	-
PD0043_F4	HNRNPA2B1	-
PD0043_F4	IDH1	-
PD0043_F4	IL6ST	-
PD0043_F4	IRX1	-
PD0043_F4	KIF19	-
PD0043_F4	LCE1E	-
PD0043_F4	MAP2K3	-
PD0043_F4	MEN1	-
PD0043_F4	NCOR1	-
PD0043_F4	PDX1	-
PD0043_F4	PTEN	-
PD0043_F4	RB1	-
PD0043_F4	RPS6KA3	-
PD0043_F4	SOCS6	-
PD0043_F4	SRCAP	-
PD0043_F4	TERT	-
PD0043_F4	TMEM99	-
PD0043_F4	TRPA1	-
PD0043_F4	TSC1	-
PD0043_F4	TSC2	-
PD0044_F4	ACVR2A	-
PD0044_F4	ADH1B	-
PD0044_F4	ALB	-
PD0044_F4	APOB	-
PD0044_F4	ARID1A	-
PD0044_F4	ARID2	-
PD0044_F4	AXIN1	-
PD0044_F4	BAP1	-
PD0044_F4	BRD7	-
PD0044_F4	CCND1	-
PD0044_F4	CDKN1A	-
PD0044_F4	CDKN2A	-
PD0044_F4	CDKN2B	-
PD0044_F4	CYP2E1	-
PD0044_F4	EEF1A1	-
PD0044_F4	FGF19	-
PD0044_F4	G6PC	-
PD0044_F4	GALNT11	-
PD0044_F4	GRXCR1	-
PD0044_F4	HIST1H1C	-
PD0044_F4	HNF1A	-
PD0044_F4	HNRNPA2B1	-
PD0044_F4	IDH1	-
PD0044_F4	IL6ST	-
PD0044_F4	IRX1	-
PD0044_F4	KIF19	-
PD0044_F4	LCE1E	-
PD0044_F4	MAP2K3	-
PD0044_F4	MEN1	-
PD0044_F4	NCOR1	-
PD0044_F4	NFE2L2	-
PD0044_F4	PDX1	-
PD0044_F4	PTEN	-
PD0044_F4	RB1	-
PD0044_F4	RPS6KA3	-
PD0044_F4	SOCS6	-
PD0044_F4	SRCAP	-
PD0044_F4	TERT	-
PD0044_F4	TMEM99	-
PD0044_F4	TRPA1	-
PD0044_F4	TSC1	-
PD0044_F4	TSC2	-
PD0048_F4	ACVR2A	-
PD0048_F4	ADH1B	-
PD0048_F4	ALB	-
PD0048_F4	APOB	-
PD0048_F4	ARID1A	-
PD0048_F4	ARID2	-
PD0048_F4	AXIN1	-
PD0048_F4	BAP1	-
PD0048_F4	BRD7	-
PD0048_F4	CCND1	-
PD0048_F4	CDKN1A	-
PD0048_F4	CDKN2A	-
PD0048_F4	CDKN2B	-
PD0048_F4	CTNNB1	-
PD0048_F4	CYP2E1	-
PD0048_F4	EEF1A1	-
PD0048_F4	FCRL1	-
PD0048_F4	FGF19	-
PD0048_F4	G6PC	-
PD0048_F4	GALNT11	-
PD0048_F4	GRXCR1	-
PD0048_F4	HIST1H1C	-
PD0048_F4	HNF1A	-
PD0048_F4	HNRNPA2B1	-
PD0048_F4	IDH1	-
PD0048_F4	IL6ST	-
PD0048_F4	IRX1	-
PD0048_F4	KIF19	-
PD0048_F4	LCE1E	-
PD0048_F4	MAP2K3	-
PD0048_F4	MEN1	-
PD0048_F4	NCOR1	-
PD0048_F4	NFE2L2	-
PD0048_F4	PDX1	-
PD0048_F4	PTEN	-
PD0048_F4	RB1	-
PD0048_F4	RPS6KA3	-
PD0048_F4	SOCS6	-
PD0048_F4	SRCAP	-
PD0048_F4	TERT	-
PD0048_F4	TMEM99	-
PD0048_F4	TRPA1	-
PD0048_F4	TSC2	-
PD0049_F4	ACVR2A	-
PD0049_F4	ADH1B	-
PD0049_F4	ALB	-
PD0049_F4	ARID1A	-
PD0049_F4	ARID2	-
PD0049_F4	AXIN1	-
PD0049_F4	BAP1	-
PD0049_F4	BRD7	-
PD0049_F4	CCND1	-
PD0049_F4	CDKN1A	-
PD0049_F4	CDKN2A	-
PD0049_F4	CDKN2B	-
PD0049_F4	CTNNB1	-
PD0049_F4	CYP2E1	-
PD0049_F4	EEF1A1	-
PD0049_F4	FCRL1	-
PD0049_F4	FGF19	-
PD0049_F4	G6PC	-
PD0049_F4	GALNT11	-
PD0049_F4	GRXCR1	-
PD0049_F4	HIST1H1C	-
PD0049_F4	HNF1A	-
PD0049_F4	HNRNPA2B1	-
PD0049_F4	IDH1	-
PD0049_F4	IL6ST	-
PD0049_F4	IRX1	-
PD0049_F4	KIF19	-
PD0049_F4	LCE1E	-
PD0049_F4	MAP2K3	-
PD0049_F4	MEN1	-
PD0049_F4	NCOR1	-
PD0049_F4	NFE2L2	-
PD0049_F4	PDX1	-
PD0049_F4	PTEN	-
PD0049_F4	RB1	-
PD0049_F4	RPS6KA3	-
PD0049_F4	SOCS6	-
PD0049_F4	SRCAP	-
PD0049_F4	TERT	-
PD0049_F4	TMEM99	-
PD0049_F4	TRPA1	-
PD0049_F4	TSC1	-
PD0049_F4	TSC2	-
PD0050_F4	ACVR2A	-
PD0050_F4	ADH1B	-
PD0050_F4	ALB	-
PD0050_F4	APOB	-
PD0050_F4	ARID1A	-
PD0050_F4	ARID2	-
PD0050_F4	AXIN1	-
PD0050_F4	BAP1	-
PD0050_F4	BRD7	-
PD0050_F4	CCND1	-
PD0050_F4	CDKN1A	-
PD0050_F4	CDKN2A	-
PD0050_F4	CDKN2B	-
PD0050_F4	CTNNB1	-
PD0050_F4	CYP2E1	-
PD0050_F4	EEF1A1	-
PD0050_F4	FCRL1	-
PD0050_F4	FGF19	-
PD0050_F4	G6PC	-
PD0050_F4	GALNT11	-
PD0050_F4	GRXCR1	-
PD0050_F4	HIST1H1C	-
PD0050_F4	HNF1A	-
PD0050_F4	HNRNPA2B1	-
PD0050_F4	IDH1	-
PD0050_F4	IL6ST	-
PD0050_F4	IRX1	-
PD0050_F4	KIF19	-
PD0050_F4	LCE1E	-
PD0050_F4	MAP2K3	-
PD0050_F4	MEN1	-
PD0050_F4	NCOR1	-
PD0050_F4	NFE2L2	-
PD0050_F4	PDX1	-
PD0050_F4	PTEN	-
PD0050_F4	RB1	-
PD0050_F4	RPS6KA3	-
PD0050_F4	SOCS6	-
PD0050_F4	SRCAP	-
PD0050_F4	TERT	-
PD0050_F4	TMEM99	-
PD0050_F4	TP53	-
PD0050_F4	TRPA1	-
PD0050_F4	TSC1	-
PD0050_F4	TSC2	-
PD0052_F4	ACVR2A	-
PD0052_F4	ADH1B	-
PD0052_F4	ALB	-
PD0052_F4	ARID1A	-
PD0052_F4	ARID2	-
PD0052_F4	AXIN1	-
PD0052_F4	BAP1	-
PD0052_F4	BRD7	-
PD0052_F4	CCND1	-
PD0052_F4	CDKN1A	-
PD0052_F4	CDKN2A	-
PD0052_F4	CDKN2B	-
PD0052_F4	CTNNB1	-
PD0052_F4	CYP2E1	-
PD0052_F4	EEF1A1	-
PD0052_F4	FCRL1	-
PD0052_F4	FGF19	-
PD0052_F4	G6PC	-
PD0052_F4	GALNT11	-
PD0052_F4	GRXCR1	-
PD0052_F4	HIST1H1C	-
PD0052_F4	HNF1A	-
PD0052_F4	HNRNPA2B1	-
PD0052_F4	IDH1	-
PD0052_F4	IL6ST	-
PD0052_F4	IRX1	-
PD0052_F4	KIF19	-
PD0052_F4	LCE1E	-
PD0052_F4	MAP2K3	-
PD0052_F4	MEN1	-
PD0052_F4	NCOR1	-
PD0052_F4	NFE2L2	-
PD0052_F4	PDX1	-
PD0052_F4	PTEN	-
PD0052_F4	RB1	-
PD0052_F4	SOCS6	-
PD0052_F4	SRCAP	-
PD0052_F4	TERT	-
PD0052_F4	TMEM99	-
PD0052_F4	TRPA1	-
PD0052_F4	TSC1	-
PD0052_F4	TSC2	-
PD0053_F4	ACVR2A	-
PD0053_F4	ADH1B	-
PD0053_F4	ALB	-
PD0053_F4	APOB	-
PD0053_F4	ARID1A	-
PD0053_F4	ARID2	-
PD0053_F4	BAP1	-
PD0053_F4	BRD7	-
PD0053_F4	CCND1	-
PD0053_F4	CDKN1A	-
PD0053_F4	CDKN2A	-
PD0053_F4	CDKN2B	-
PD0053_F4	CTNNB1	-
PD0053_F4	CYP2E1	-
PD0053_F4	EEF1A1	-
PD0053_F4	FCRL1	-
PD0053_F4	FGF19	-
PD0053_F4	G6PC	-
PD0053_F4	GALNT11	-
PD0053_F4	GRXCR1	-
PD0053_F4	HIST1H1C	-
PD0053_F4	HNF1A	-
PD0053_F4	HNRNPA2B1	-
PD0053_F4	IDH1	-
PD0053_F4	IL6ST	-
PD0053_F4	IRX1	-
PD0053_F4	KIF19	-
PD0053_F4	LCE1E	-
PD0053_F4	MAP2K3	-
PD0053_F4	MEN1	-
PD0053_F4	NCOR1	-
PD0053_F4	NFE2L2	-
PD0053_F4	PDX1	-
PD0053_F4	PTEN	-
PD0053_F4	RB1	-
PD0053_F4	RPS6KA3	-
PD0053_F4	SOCS6	-
PD0053_F4	SRCAP	-
PD0053_F4	TERT	-
PD0053_F4	TMEM99	-
PD0053_F4	TP53	-
PD0053_F4	TRPA1	-
PD0053_F4	TSC1	-
PD0053_F4	TSC2	-
PD0054_F4	ACVR2A	-
PD0054_F4	ADH1B	-
PD0054_F4	ALB	-
PD0054_F4	APOB	-
PD0054_F4	ARID1A	-
PD0054_F4	BAP1	-
PD0054_F4	BRD7	-
PD0054_F4	CCND1	-
PD0054_F4	CDKN1A	-
PD0054_F4	CDKN2A	-
PD0054_F4	CDKN2B	-
PD0054_F4	CTNNB1	-
PD0054_F4	CYP2E1	-
PD0054_F4	EEF1A1	-
PD0054_F4	FCRL1	-
PD0054_F4	FGF19	-
PD0054_F4	G6PC	-
PD0054_F4	GALNT11	-
PD0054_F4	GRXCR1	-
PD0054_F4	HIST1H1C	-
PD0054_F4	HNF1A	-
PD0054_F4	HNRNPA2B1	-
PD0054_F4	IDH1	-
PD0054_F4	IL6ST	-
PD0054_F4	IRX1	-
PD0054_F4	LCE1E	-
PD0054_F4	MAP2K3	-
PD0054_F4	MEN1	-
PD0054_F4	NCOR1	-
PD0054_F4	NFE2L2	-
PD0054_F4	PDX1	-
PD0054_F4	PTEN	-
PD0054_F4	RB1	-
PD0054_F4	RPS6KA3	-
PD0054_F4	SOCS6	-
PD0054_F4	SRCAP	-
PD0054_F4	TERT	-
PD0054_F4	TMEM99	-
PD0054_F4	TRPA1	-
PD0054_F4	TSC2	-
PD0055_F4	ACVR2A	-
PD0055_F4	ADH1B	-
PD0055_F4	APOB	-
PD0055_F4	ARID1A	-
PD0055_F4	ARID2	-
PD0055_F4	BAP1	-
PD0055_F4	BRD7	-
PD0055_F4	CCND1	-
PD0055_F4	CDKN1A	-
PD0055_F4	CDKN2B	-
PD0055_F4	CTNNB1	-
PD0055_F4	CYP2E1	-
PD0055_F4	EEF1A1	-
PD0055_F4	FCRL1	-
PD0055_F4	FGF19	-
PD0055_F4	G6PC	-
PD0055_F4	GALNT11	-
PD0055_F4	GRXCR1	-
PD0055_F4	HIST1H1C	-
PD0055_F4	HNF1A	-
PD0055_F4	HNRNPA2B1	-
PD0055_F4	IDH1	-
PD0055_F4	IL6ST	-
PD0055_F4	IRX1	-
PD0055_F4	KIF19	-
PD0055_F4	LCE1E	-
PD0055_F4	MAP2K3	-
PD0055_F4	MEN1	-
PD0055_F4	NCOR1	-
PD0055_F4	PDX1	-
PD0055_F4	PTEN	-
PD0055_F4	RB1	-
PD0055_F4	RPS6KA3	-
PD0055_F4	SOCS6	-
PD0055_F4	TERT	-
PD0055_F4	TMEM99	-
PD0055_F4	TRPA1	-
PD0055_F4	TSC1	-
PD0055_F4	TSC2	-
PD0056_F4	ACVR2A	-
PD0056_F4	ADH1B	-
PD0056_F4	ALB	-
PD0056_F4	APOB	-
PD0056_F4	ARID1A	-
PD0056_F4	ARID2	-
PD0056_F4	BAP1	-
PD0056_F4	BRD7	-
PD0056_F4	CCND1	-
PD0056_F4	CDKN1A	-
PD0056_F4	CDKN2A	-
PD0056_F4	CDKN2B	-
PD0056_F4	CTNNB1	-
PD0056_F4	CYP2E1	-
PD0056_F4	EEF1A1	-
PD0056_F4	FCRL1	-
PD0056_F4	FGF19	-
PD0056_F4	G6PC	-
PD0056_F4	GALNT11	-
PD0056_F4	GRXCR1	-
PD0056_F4	HIST1H1C	-
PD0056_F4	HNF1A	-
PD0056_F4	HNRNPA2B1	-
PD0056_F4	IL6ST	-
PD0056_F4	IRX1	-
PD0056_F4	KIF19	-
PD0056_F4	LCE1E	-
PD0056_F4	MAP2K3	-
PD0056_F4	MEN1	-
PD0056_F4	NCOR1	-
PD0056_F4	NFE2L2	-
PD0056_F4	PDX1	-
PD0056_F4	PTEN	-
PD0056_F4	RB1	-
PD0056_F4	RPS6KA3	-
PD0056_F4	SOCS6	-
PD0056_F4	SRCAP	-
PD0056_F4	TERT	-
PD0056_F4	TMEM99	-
PD0056_F4	TRPA1	-
PD0056_F4	TSC1	-
PD0056_F4	TSC2	-
PD0057_F4	ACVR2A	-
PD0057_F4	ADH1B	-
PD0057_F4	ALB	-
PD0057_F4	ARID1A	-
PD0057_F4	ARID2	-
PD0057_F4	AXIN1	-
PD0057_F4	BAP1	-
PD0057_F4	BRD7	-
PD0057_F4	CCND1	-
PD0057_F4	CDKN1A	-
PD0057_F4	CDKN2A	-
PD0057_F4	CDKN2B	-
PD0057_F4	CYP2E1	-
PD0057_F4	EEF1A1	-
PD0057_F4	FCRL1	-
PD0057_F4	FGF19	-
PD0057_F4	G6PC	-
PD0057_F4	GALNT11	-
PD0057_F4	GRXCR1	-
PD0057_F4	HIST1H1C	-
PD0057_F4	HNF1A	-
PD0057_F4	HNRNPA2B1	-
PD0057_F4	IDH1	-
PD0057_F4	IRX1	-
PD0057_F4	KIF19	-
PD0057_F4	LCE1E	-
PD0057_F4	MAP2K3	-
PD0057_F4	NCOR1	-
PD0057_F4	NFE2L2	-
PD0057_F4	PDX1	-
PD0057_F4	PTEN	-
PD0057_F4	RB1	-
PD0057_F4	RPS6KA3	-
PD0057_F4	SOCS6	-
PD0057_F4	SRCAP	-
PD0057_F4	TMEM99	-
PD0057_F4	TRPA1	-
PD0057_F4	TSC1	-
PD0057_F4	TSC2	-
PD0063_F4	ACVR2A	-
PD0063_F4	ADH1B	-
PD0063_F4	ALB	-
PD0063_F4	APOB	-
